,label_column,anomaly_score_column,interp_score_column,VUS_PR,PR_AUC,IndependentInterp,AVUSI,VUSI_0,VUSI_1,S,I
0,label,anomaly_score_so,interpretability_score_io,1.0,1.0,1.0,1.0,1.0,1.0,\textbf{SO},\textbf{IO}
1,label,anomaly_score_so,interpretability_score_i1,1.0,1.0,0.75,1.0,1.0,1.0,\textbf{SO},I1
2,label,anomaly_score_so,interpretability_score_i2,1.0,1.0,0.5,0.4301776885986328,0.4301776885986328,0.4301776885986328,\textbf{SO},I2
3,label,anomaly_score_so,interpretability_score_i3,1.0,1.0,0.4,1.0,1.0,1.0,\textbf{SO},I3
4,label,anomaly_score_so,interpretability_score_i4,1.0,1.0,0.5275000000000001,0.848047435283661,0.8480474352836609,0.8480474352836609,\textbf{SO},I4
5,label,anomaly_score_s1,interpretability_score_io,0.48442140221595764,0.39436954483474806,1.0,0.7702085603864826,1.0,0.48442140221595764,S1,\textbf{IO}
6,label,anomaly_score_s1,interpretability_score_i1,0.48442140221595764,0.39436954483474806,0.75,0.6661185181262542,1.0000001192092896,0.4338652789592743,S1,I1
7,label,anomaly_score_s1,interpretability_score_i2,0.48442140221595764,0.39436954483474806,0.5,0.4787068397414928,0.4301776587963104,0.3760208785533905,S1,I2
8,label,anomaly_score_s1,interpretability_score_i3,0.48442140221595764,0.39436954483474806,0.4,0.5161295618329729,1.0,0.3207648992538452,S1,I3
9,label,anomaly_score_s1,interpretability_score_i4,0.48442140221595764,0.39436954483474806,0.5275000000000001,0.6062303705483068,0.8480474352836609,0.38226690888404846,S1,I4
10,label,anomaly_score_s2,interpretability_score_io,0.22477008402347565,0.18836197858016843,1.0,0.6574832017020302,1.0,0.22477008402347565,S2,\textbf{IO}
11,label,anomaly_score_s2,interpretability_score_i1,0.22477008402347565,0.18836197858016843,0.75,0.5279460598011406,1.0,0.18234586715698242,S2,I1
12,label,anomaly_score_s2,interpretability_score_i2,0.22477008402347565,0.18836197858016843,0.5,0.35136388439913185,0.4301776885986328,0.18449173867702484,S2,I2
13,label,anomaly_score_s2,interpretability_score_i3,0.22477008402347565,0.18836197858016843,0.4,0.3528576865792274,1.0,0.15195836126804352,S2,I3
14,label,anomaly_score_s2,interpretability_score_i4,0.22477008402347565,0.18836197858016843,0.5275000000000001,0.41859590216558806,0.8480474948883057,0.16007354855537415,S2,I4
