,label,anomaly_score_so,anomaly_score_s1,anomaly_score_s2,interpretability_score_io,interpretability_score_i1,interpretability_score_i2,interpretability_score_i3,interpretability_score_i4
0,0.0,0.0,0.28660259963601115,0.8912922911878711,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.03426608332642489,0.5531340162052499,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.05881622745424216,0.17693843883056914,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.2606301199123643,0.28358676038257813,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.25577096200307514,0.5269550033004741,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.03358229122055375,0.4042688747482225,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.19310693176654817,0.881120296935739,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.18884185114093116,0.23875697595931433,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.129358739094703,0.9002890960646721,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.12617300475675194,0.11398963486498048,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.044907138619678995,0.9664683545241894,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.1550376240960278,0.02929680812690616,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.03982603377556849,0.7954665625687164,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.29299233297592386,0.893566704721685,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.22205115670004535,0.393421355675291,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.049025064031309185,0.2644890465579748,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.257042714343264,0.9698539114250524,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.050642587096410986,0.05006288572389217,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0662065819892892,0.04059105450496869,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.2804104349014534,0.3088615056854688,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.18487424501810376,0.6567443863178041,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.15333269179836714,0.19816206853563967,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.26194047108053026,0.06771647293610272,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.10211707922305384,0.34227244571050763,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.22089908813857315,0.8578656426904367,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.257748646348552,0.10520253857988926,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.030398928662697874,0.02446683139411998,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.2619145508992364,0.19279091476248278,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.2983111210624461,0.6268579286075823,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.2297070154706443,0.457918010510569,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.2987578286298123,0.6605827103512453,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.25941857286937164,0.3712577006384592,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.29773304420635344,0.2182641071243392,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.15721387007417906,0.7763063824324284,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.06876925414454385,0.9162892749747739,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.2506757306834246,0.03896544051121886,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.12612654929278364,0.2752495192908804,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.22150071745002667,0.223440294566419,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.1586097906948075,0.5800464319304871,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.1715151746400543,0.8085276323140755,0.0,0.0,0.0,0.0,0.0
40,1.0,1.0,0.17252827409082142,0.4289559347458227,1.0,1.0,1.0,0.3,0.0
41,1.0,1.0,0.08119770681928283,0.028761627851323635,1.0,1.0,1.0,0.3,0.0
42,1.0,1.0,0.18126474319879515,0.769628319890838,1.0,1.0,1.0,0.3,0.0
43,1.0,1.0,0.10598343489874436,0.6910700404286158,1.0,1.0,1.0,0.3,0.0
44,1.0,1.0,0.21334707436537734,0.19645611227749138,1.0,1.0,1.0,0.3,0.0
45,1.0,1.0,1.0617352951120806,0.8718228114418302,1.0,1.0,1.0,0.3,0.3
46,1.0,1.0,0.9932063290087332,0.5242916360350104,1.0,1.0,1.0,0.3,0.3
47,1.0,1.0,1.1157895358299659,0.7419055173638693,1.0,1.0,1.0,0.3,0.3
48,1.0,1.0,1.221401377662954,0.6235209687917855,1.0,1.0,1.0,0.3,0.7
49,1.0,1.0,0.7953993803320282,0.13486409429995205,1.0,1.0,1.0,0.3,0.7
50,1.0,1.0,0.931769638452662,0.9208089724217345,1.0,1.0,1.0,0.3,0.7
51,1.0,1.0,0.7646285147463922,0.29300031370019064,1.0,1.0,1.0,0.3,0.7
52,1.0,1.0,1.1678520348025851,0.8572557173152692,1.0,1.0,1.0,0.3,0.7
53,1.0,1.0,0.8861278232727329,0.27004669111319257,1.0,1.0,1.0,0.3,0.7
54,1.0,1.0,1.0387508214404435,0.3744171030434301,1.0,1.0,1.0,0.3,1.0
55,1.0,1.0,0.7608533711400135,0.675498591503707,1.0,1.0,1.0,0.3,1.0
56,1.0,1.0,1.0325841435961947,0.5303272209537641,1.0,1.0,1.0,0.3,1.0
57,1.0,1.0,1.187819513786986,0.46485068173011435,1.0,1.0,1.0,0.3,1.0
58,1.0,1.0,1.2117928381395138,0.2904974272248133,1.0,1.0,1.0,0.3,1.0
59,1.0,1.0,1.0596328373054655,0.3101503867394706,1.0,1.0,1.0,0.3,1.0
60,0.0,0.0,0.8278201941694034,0.1893501677880115,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,1.0262619735316176,0.053263500015696574,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,1.0203890649931908,0.2021395885963576,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,1.2071018843868782,0.08763908105033802,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.9193411326752483,0.5480774185291738,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,1.0290727442733691,0.4861703668044348,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,1.113726090970636,0.04322730217401771,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,1.2699397256760676,0.5807135378268048,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,1.0780774185183124,0.5309438414202788,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.8470174409570363,0.9606869663990996,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,1.0662717537599775,0.9514434394227891,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.9721718689867427,0.029483909181323265,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,1.084813736592447,0.7929106439674831,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.830214241735702,0.25956405451120024,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,1.1148020164306387,0.7461599123210922,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.1926114062527429,0.620162044442498,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.08331060856316837,0.6866640404013697,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.012859897928488006,0.8356601821441375,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0065650477547048005,0.7655168591959902,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.18665957588471602,0.4561397189787476,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.23328858128857097,0.9480815870701376,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.09495325258492134,0.44482110731852154,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.24575558855592305,0.7911476976968363,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0002839365230213886,0.19510873506533521,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.23277821265508716,0.6662955665187725,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.004029089114140882,0.18214732373908893,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.1352470953358697,0.5220072655907574,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.09460235142538541,0.4897322575152885,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.004408599647614864,0.9716996929419583,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.1549764386870354,0.8157920916108373,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.27763014411012404,0.48834936130418494,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.1029804014420627,0.9646423809462067,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.17015096326067305,0.2758939424322101,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.12312992089228647,0.32347872862742877,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.11227588230200158,0.4321188548915722,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.2671302979455312,0.2179064826513779,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.07634484597004905,0.9209144920333499,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.24651525716290773,0.5958372973658322,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.1794111381470992,0.914258334892242,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.04199956529852798,0.751723227480181,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.07423500417504532,0.41777885123132175,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.10398898599920071,0.5385540158160089,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.29039123082120216,0.07382806298477484,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.23333627436564114,0.2053973854443798,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.15839818325364072,0.9321117529934575,0.0,0.0,0.0,0.0,0.0
105,0.0,0.0,0.06415735143723508,0.8774622656807567,0.0,0.0,0.0,0.0,0.0
106,0.0,0.0,0.009384308977851795,0.9911258131681534,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,0.041826294365673734,0.8608419031496949,0.0,0.0,0.0,0.0,0.0
108,0.0,0.0,0.042059766747347536,0.13460561899234535,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.1357125317078767,0.42588951661941676,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.030127799755250016,0.7126048001992441,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,0.09973093391461585,0.33683803035747684,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.13267241277208927,0.21900712873088402,0.0,0.0,0.0,0.0,0.0
113,0.0,0.0,0.08299017825412348,0.04559222393208695,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0.055659850824654786,0.07841664248750913,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.011028737986241155,0.4154512617001037,0.0,0.0,0.0,0.0,0.0
116,0.0,0.0,0.18755476670807691,0.39775667150762195,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,0.13517902620140063,0.49752165481058186,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.10739661585335598,0.5388898197337421,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,0.18109887381755438,0.03428299629966014,0.0,0.0,0.0,0.0,0.0
120,0.0,0.0,0.22203678712074362,0.4622268274246185,0.0,0.0,0.0,0.0,0.0
121,0.0,0.0,0.12151913011043042,0.7673360201383514,0.0,0.0,0.0,0.0,0.0
122,0.0,0.0,0.19452145624977185,0.08556489455092164,0.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.12813768064096379,0.3086964861007183,0.0,0.0,0.0,0.0,0.0
124,0.0,0.0,0.11016735135711843,0.09577005421080687,0.0,0.0,0.0,0.0,0.0
125,0.0,0.0,0.05977086074262955,0.8685109702560255,0.0,0.0,0.0,0.0,0.0
126,0.0,0.0,0.29912339787915293,0.13017482181408324,0.0,0.0,0.0,0.0,0.0
127,0.0,0.0,0.2348735348890953,0.7794478671091615,0.0,0.0,0.0,0.0,0.0
128,0.0,0.0,0.048687272759767815,0.42593519339747277,0.0,0.0,0.0,0.0,0.0
129,0.0,0.0,0.10811131726333449,0.5994860893525352,0.0,0.0,0.0,0.0,0.0
130,0.0,0.0,0.16166873993772396,0.8936056064184993,0.0,0.0,0.0,0.0,0.0
